grid_id,row,col,center_lng,center_lat,grid_size_m
1000m_r000_c006,0,6,114.04321713314182,22.494491555874955,1000
1000m_r001_c006,1,6,114.04321713314182,22.503474667624864,1000
1000m_r001_c007,1,7,114.05294284593286,22.503474667624864,1000
1000m_r001_c008,1,8,114.06266855872391,22.503474667624864,1000
1000m_r001_c009,1,9,114.07239427151497,22.503474667624864,1000
1000m_r002_c003,2,3,114.01403999476867,22.512457779374774,1000
1000m_r002_c005,2,5,114.03349142035077,22.512457779374774,1000
1000m_r002_c006,2,6,114.04321713314182,22.512457779374774,1000
1000m_r002_c007,2,7,114.05294284593286,22.512457779374774,1000
1000m_r002_c008,2,8,114.06266855872391,22.512457779374774,1000
1000m_r002_c009,2,9,114.07239427151497,22.512457779374774,1000
1000m_r002_c010,2,10,114.082119984306,22.512457779374774,1000
1000m_r002_c013,2,13,114.11129712267915,22.512457779374774,1000
1000m_r003_c000,3,0,113.98486285639552,22.521440891124684,1000
1000m_r003_c001,3,1,113.99458856918658,22.521440891124684,1000
1000m_r003_c002,3,2,114.00431428197763,22.521440891124684,1000
1000m_r003_c003,3,3,114.01403999476867,22.521440891124684,1000
1000m_r003_c004,3,4,114.02376570755972,22.521440891124684,1000
1000m_r003_c005,3,5,114.03349142035077,22.521440891124684,1000
1000m_r003_c006,3,6,114.04321713314182,22.521440891124684,1000
1000m_r003_c007,3,7,114.05294284593286,22.521440891124684,1000
1000m_r003_c008,3,8,114.06266855872391,22.521440891124684,1000
1000m_r003_c009,3,9,114.07239427151497,22.521440891124684,1000
1000m_r003_c010,3,10,114.082119984306,22.521440891124684,1000
1000m_r003_c012,3,12,114.10157140988811,22.521440891124684,1000
1000m_r003_c014,3,14,114.1210228354702,22.521440891124684,1000
1000m_r004_c000,4,0,113.98486285639552,22.530424002874593,1000
1000m_r004_c001,4,1,113.99458856918658,22.530424002874593,1000
1000m_r004_c002,4,2,114.00431428197763,22.530424002874593,1000
1000m_r004_c003,4,3,114.01403999476867,22.530424002874593,1000
1000m_r004_c004,4,4,114.02376570755972,22.530424002874593,1000
1000m_r004_c005,4,5,114.03349142035077,22.530424002874593,1000
1000m_r004_c006,4,6,114.04321713314182,22.530424002874593,1000
1000m_r004_c007,4,7,114.05294284593286,22.530424002874593,1000
1000m_r004_c008,4,8,114.06266855872391,22.530424002874593,1000
1000m_r004_c009,4,9,114.07239427151497,22.530424002874593,1000
1000m_r004_c010,4,10,114.082119984306,22.530424002874593,1000
1000m_r004_c011,4,11,114.09184569709706,22.530424002874593,1000
1000m_r004_c012,4,12,114.10157140988811,22.530424002874593,1000
1000m_r004_c013,4,13,114.11129712267915,22.530424002874593,1000
1000m_r004_c014,4,14,114.1210228354702,22.530424002874593,1000
1000m_r004_c015,4,15,114.13074854826125,22.530424002874593,1000
1000m_r005_c000,5,0,113.98486285639552,22.539407114624506,1000
1000m_r005_c001,5,1,113.99458856918658,22.539407114624506,1000
1000m_r005_c002,5,2,114.00431428197763,22.539407114624506,1000
1000m_r005_c003,5,3,114.01403999476867,22.539407114624506,1000
1000m_r005_c004,5,4,114.02376570755972,22.539407114624506,1000
1000m_r005_c005,5,5,114.03349142035077,22.539407114624506,1000
1000m_r005_c006,5,6,114.04321713314182,22.539407114624506,1000
1000m_r005_c007,5,7,114.05294284593286,22.539407114624506,1000
1000m_r005_c008,5,8,114.06266855872391,22.539407114624506,1000
1000m_r005_c009,5,9,114.07239427151497,22.539407114624506,1000
1000m_r005_c010,5,10,114.082119984306,22.539407114624506,1000
1000m_r005_c011,5,11,114.09184569709706,22.539407114624506,1000
1000m_r005_c012,5,12,114.10157140988811,22.539407114624506,1000
1000m_r005_c013,5,13,114.11129712267915,22.539407114624506,1000
1000m_r005_c014,5,14,114.1210228354702,22.539407114624506,1000
1000m_r005_c015,5,15,114.13074854826125,22.539407114624506,1000
1000m_r006_c000,6,0,113.98486285639552,22.548390226374416,1000
1000m_r006_c001,6,1,113.99458856918658,22.548390226374416,1000
1000m_r006_c002,6,2,114.00431428197763,22.548390226374416,1000
1000m_r006_c003,6,3,114.01403999476867,22.548390226374416,1000
1000m_r006_c004,6,4,114.02376570755972,22.548390226374416,1000
1000m_r006_c005,6,5,114.03349142035077,22.548390226374416,1000
1000m_r006_c006,6,6,114.04321713314182,22.548390226374416,1000
1000m_r006_c007,6,7,114.05294284593286,22.548390226374416,1000
1000m_r006_c008,6,8,114.06266855872391,22.548390226374416,1000
1000m_r006_c009,6,9,114.07239427151497,22.548390226374416,1000
1000m_r006_c010,6,10,114.082119984306,22.548390226374416,1000
1000m_r006_c011,6,11,114.09184569709706,22.548390226374416,1000
1000m_r006_c012,6,12,114.10157140988811,22.548390226374416,1000
1000m_r006_c013,6,13,114.11129712267915,22.548390226374416,1000
1000m_r006_c014,6,14,114.1210228354702,22.548390226374416,1000
1000m_r006_c015,6,15,114.13074854826125,22.548390226374416,1000
1000m_r007_c000,7,0,113.98486285639552,22.557373338124325,1000
1000m_r007_c001,7,1,113.99458856918658,22.557373338124325,1000
1000m_r007_c003,7,3,114.01403999476867,22.557373338124325,1000
1000m_r007_c004,7,4,114.02376570755972,22.557373338124325,1000
1000m_r007_c005,7,5,114.03349142035077,22.557373338124325,1000
1000m_r007_c006,7,6,114.04321713314182,22.557373338124325,1000
1000m_r007_c007,7,7,114.05294284593286,22.557373338124325,1000
1000m_r007_c008,7,8,114.06266855872391,22.557373338124325,1000
1000m_r007_c009,7,9,114.07239427151497,22.557373338124325,1000
1000m_r007_c010,7,10,114.082119984306,22.557373338124325,1000
1000m_r007_c011,7,11,114.09184569709706,22.557373338124325,1000
1000m_r007_c012,7,12,114.10157140988811,22.557373338124325,1000
1000m_r007_c013,7,13,114.11129712267915,22.557373338124325,1000
1000m_r007_c014,7,14,114.1210228354702,22.557373338124325,1000
1000m_r007_c015,7,15,114.13074854826125,22.557373338124325,1000
1000m_r008_c000,8,0,113.98486285639552,22.566356449874235,1000
1000m_r008_c003,8,3,114.01403999476867,22.566356449874235,1000
1000m_r008_c005,8,5,114.03349142035077,22.566356449874235,1000
1000m_r008_c006,8,6,114.04321713314182,22.566356449874235,1000
1000m_r008_c007,8,7,114.05294284593286,22.566356449874235,1000
1000m_r008_c008,8,8,114.06266855872391,22.566356449874235,1000
1000m_r008_c009,8,9,114.07239427151497,22.566356449874235,1000
1000m_r008_c010,8,10,114.082119984306,22.566356449874235,1000
1000m_r008_c011,8,11,114.09184569709706,22.566356449874235,1000
1000m_r008_c012,8,12,114.10157140988811,22.566356449874235,1000
1000m_r008_c013,8,13,114.11129712267915,22.566356449874235,1000
1000m_r008_c014,8,14,114.1210228354702,22.566356449874235,1000
1000m_r008_c015,8,15,114.13074854826125,22.566356449874235,1000
1000m_r009_c005,9,5,114.03349142035077,22.575339561624144,1000
1000m_r009_c006,9,6,114.04321713314182,22.575339561624144,1000
1000m_r009_c007,9,7,114.05294284593286,22.575339561624144,1000
1000m_r009_c008,9,8,114.06266855872391,22.575339561624144,1000
1000m_r009_c009,9,9,114.07239427151497,22.575339561624144,1000
1000m_r009_c010,9,10,114.082119984306,22.575339561624144,1000
1000m_r009_c012,9,12,114.10157140988811,22.575339561624144,1000
1000m_r009_c013,9,13,114.11129712267915,22.575339561624144,1000
1000m_r009_c014,9,14,114.1210228354702,22.575339561624144,1000
1000m_r009_c015,9,15,114.13074854826125,22.575339561624144,1000
1000m_r010_c012,10,12,114.10157140988811,22.584322673374054,1000
1000m_r010_c013,10,13,114.11129712267915,22.584322673374054,1000
1000m_r010_c014,10,14,114.1210228354702,22.584322673374054,1000
