grid_id,original_grid_id,visit_copy_index,visit_copy_count,shortage_bikes,surplus_bikes
500m_r002_c014__v01,500m_r002_c014,1,1,7,0
500m_r002_c016__v01,500m_r002_c016,1,1,7,0
500m_r003_c012__v01,500m_r003_c012,1,1,4,0
500m_r003_c013__v01,500m_r003_c013,1,2,16,0
500m_r003_c013__v02,500m_r003_c013,2,2,15,0
500m_r003_c014__v01,500m_r003_c014,1,1,4,0
500m_r003_c015__v01,500m_r003_c015,1,1,0,5
500m_r003_c016__v01,500m_r003_c016,1,2,15,0
500m_r003_c016__v02,500m_r003_c016,2,2,15,0
500m_r004_c012__v01,500m_r004_c012,1,1,3,0
500m_r004_c016__v01,500m_r004_c016,1,1,0,5
500m_r004_c020__v01,500m_r004_c020,1,1,6,0
500m_r005_c012__v01,500m_r005_c012,1,1,0,10
500m_r005_c013__v01,500m_r005_c013,1,1,12,0
500m_r005_c014__v01,500m_r005_c014,1,1,0,6
500m_r005_c015__v01,500m_r005_c015,1,1,6,0
500m_r005_c016__v01,500m_r005_c016,1,1,0,3
500m_r005_c017__v01,500m_r005_c017,1,1,0,7
500m_r005_c018__v01,500m_r005_c018,1,1,0,10
500m_r005_c019__v01,500m_r005_c019,1,1,3,0
500m_r006_c003__v01,500m_r006_c003,1,1,7,0
500m_r006_c009__v01,500m_r006_c009,1,1,0,3
500m_r006_c011__v01,500m_r006_c011,1,2,0,11
500m_r006_c011__v02,500m_r006_c011,2,2,0,10
500m_r006_c012__v01,500m_r006_c012,1,2,0,13
500m_r006_c012__v02,500m_r006_c012,2,2,0,13
500m_r006_c013__v01,500m_r006_c013,1,1,0,16
500m_r006_c014__v01,500m_r006_c014,1,1,0,12
500m_r006_c017__v01,500m_r006_c017,1,1,0,11
500m_r006_c018__v01,500m_r006_c018,1,1,0,4
500m_r006_c019__v01,500m_r006_c019,1,1,0,4
500m_r007_c002__v01,500m_r007_c002,1,1,0,4
500m_r007_c003__v01,500m_r007_c003,1,1,0,4
500m_r007_c008__v01,500m_r007_c008,1,1,0,3
500m_r007_c009__v01,500m_r007_c009,1,1,0,8
500m_r007_c013__v01,500m_r007_c013,1,2,0,14
500m_r007_c013__v02,500m_r007_c013,2,2,0,14
500m_r007_c014__v01,500m_r007_c014,1,2,0,11
500m_r007_c014__v02,500m_r007_c014,2,2,0,10
500m_r007_c015__v01,500m_r007_c015,1,1,5,0
500m_r007_c018__v01,500m_r007_c018,1,1,0,3
500m_r008_c002__v01,500m_r008_c002,1,1,8,0
500m_r008_c003__v01,500m_r008_c003,1,1,4,0
500m_r008_c005__v01,500m_r008_c005,1,1,0,3
500m_r008_c008__v01,500m_r008_c008,1,1,4,0
500m_r008_c009__v01,500m_r008_c009,1,1,0,7
500m_r008_c010__v01,500m_r008_c010,1,1,9,0
500m_r008_c011__v01,500m_r008_c011,1,1,0,10
500m_r008_c012__v01,500m_r008_c012,1,1,17,0
500m_r008_c014__v01,500m_r008_c014,1,1,0,16
500m_r008_c016__v01,500m_r008_c016,1,1,0,4
500m_r008_c017__v01,500m_r008_c017,1,2,0,12
500m_r008_c017__v02,500m_r008_c017,2,2,0,11
500m_r008_c018__v01,500m_r008_c018,1,1,9,0
500m_r008_c021__v01,500m_r008_c021,1,1,0,5
500m_r008_c028__v01,500m_r008_c028,1,1,6,0
500m_r009_c000__v01,500m_r009_c000,1,1,3,0
500m_r009_c003__v01,500m_r009_c003,1,1,0,14
500m_r009_c007__v01,500m_r009_c007,1,1,0,4
500m_r009_c008__v01,500m_r009_c008,1,1,4,0
500m_r009_c009__v01,500m_r009_c009,1,1,0,11
500m_r009_c010__v01,500m_r009_c010,1,2,12,0
500m_r009_c010__v02,500m_r009_c010,2,2,11,0
500m_r009_c014__v01,500m_r009_c014,1,1,0,8
500m_r009_c015__v01,500m_r009_c015,1,3,15,0
500m_r009_c015__v02,500m_r009_c015,2,3,14,0
500m_r009_c015__v03,500m_r009_c015,3,3,14,0
500m_r009_c016__v01,500m_r009_c016,1,1,16,0
500m_r009_c017__v01,500m_r009_c017,1,1,8,0
500m_r009_c018__v01,500m_r009_c018,1,1,7,0
500m_r009_c019__v01,500m_r009_c019,1,1,0,9
500m_r009_c020__v01,500m_r009_c020,1,1,0,20
500m_r009_c021__v01,500m_r009_c021,1,2,0,13
500m_r009_c021__v02,500m_r009_c021,2,2,0,13
500m_r009_c027__v01,500m_r009_c027,1,1,0,6
500m_r009_c028__v01,500m_r009_c028,1,1,20,0
500m_r009_c029__v01,500m_r009_c029,1,1,0,12
500m_r010_c000__v01,500m_r010_c000,1,1,5,0
500m_r010_c002__v01,500m_r010_c002,1,1,7,0
500m_r010_c003__v01,500m_r010_c003,1,1,11,0
500m_r010_c008__v01,500m_r010_c008,1,1,0,8
500m_r010_c009__v01,500m_r010_c009,1,1,10,0
500m_r010_c010__v01,500m_r010_c010,1,1,20,0
500m_r010_c012__v01,500m_r010_c012,1,1,3,0
500m_r010_c014__v01,500m_r010_c014,1,2,17,0
500m_r010_c014__v02,500m_r010_c014,2,2,16,0
500m_r010_c015__v01,500m_r010_c015,1,1,17,0
500m_r010_c016__v01,500m_r010_c016,1,1,0,16
500m_r010_c017__v01,500m_r010_c017,1,1,5,0
500m_r010_c018__v01,500m_r010_c018,1,1,7,0
500m_r010_c019__v01,500m_r010_c019,1,2,0,11
500m_r010_c019__v02,500m_r010_c019,2,2,0,11
500m_r010_c020__v01,500m_r010_c020,1,1,0,3
500m_r010_c021__v01,500m_r010_c021,1,1,12,0
500m_r010_c022__v01,500m_r010_c022,1,1,5,0
500m_r010_c023__v01,500m_r010_c023,1,1,6,0
500m_r010_c024__v01,500m_r010_c024,1,1,0,8
500m_r010_c025__v01,500m_r010_c025,1,1,0,15
500m_r010_c026__v01,500m_r010_c026,1,1,6,0
500m_r010_c027__v01,500m_r010_c027,1,1,0,14
500m_r010_c028__v01,500m_r010_c028,1,1,0,7
500m_r010_c029__v01,500m_r010_c029,1,1,0,10
500m_r010_c030__v01,500m_r010_c030,1,1,3,0
500m_r011_c001__v01,500m_r011_c001,1,1,12,0
500m_r011_c002__v01,500m_r011_c002,1,1,7,0
500m_r011_c003__v01,500m_r011_c003,1,1,0,16
500m_r011_c004__v01,500m_r011_c004,1,1,4,0
500m_r011_c006__v01,500m_r011_c006,1,1,3,0
500m_r011_c007__v01,500m_r011_c007,1,1,0,9
500m_r011_c012__v01,500m_r011_c012,1,1,0,7
500m_r011_c014__v01,500m_r011_c014,1,1,8,0
500m_r011_c015__v01,500m_r011_c015,1,1,11,0
500m_r011_c018__v01,500m_r011_c018,1,1,0,7
500m_r011_c020__v01,500m_r011_c020,1,1,0,8
500m_r011_c021__v01,500m_r011_c021,1,2,20,0
500m_r011_c021__v02,500m_r011_c021,2,2,20,0
500m_r011_c022__v01,500m_r011_c022,1,2,15,0
500m_r011_c022__v02,500m_r011_c022,2,2,14,0
500m_r011_c023__v01,500m_r011_c023,1,1,4,0
500m_r011_c024__v01,500m_r011_c024,1,1,0,5
500m_r011_c025__v01,500m_r011_c025,1,1,4,0
500m_r011_c026__v01,500m_r011_c026,1,2,14,0
500m_r011_c026__v02,500m_r011_c026,2,2,14,0
500m_r011_c027__v01,500m_r011_c027,1,2,14,0
500m_r011_c027__v02,500m_r011_c027,2,2,13,0
500m_r011_c028__v01,500m_r011_c028,1,1,0,9
500m_r012_c000__v01,500m_r012_c000,1,1,0,5
500m_r012_c001__v01,500m_r012_c001,1,1,0,3
500m_r012_c002__v01,500m_r012_c002,1,1,6,0
500m_r012_c005__v01,500m_r012_c005,1,1,10,0
500m_r012_c012__v01,500m_r012_c012,1,1,5,0
500m_r012_c013__v01,500m_r012_c013,1,1,0,10
500m_r012_c014__v01,500m_r012_c014,1,1,4,0
500m_r012_c015__v01,500m_r012_c015,1,1,11,0
500m_r012_c016__v01,500m_r012_c016,1,1,4,0
500m_r012_c017__v01,500m_r012_c017,1,1,7,0
500m_r012_c018__v01,500m_r012_c018,1,1,0,6
500m_r012_c019__v01,500m_r012_c019,1,2,0,11
500m_r012_c019__v02,500m_r012_c019,2,2,0,11
500m_r012_c022__v01,500m_r012_c022,1,2,19,0
500m_r012_c022__v02,500m_r012_c022,2,2,19,0
500m_r012_c023__v01,500m_r012_c023,1,1,10,0
500m_r012_c026__v01,500m_r012_c026,1,1,0,15
500m_r012_c027__v01,500m_r012_c027,1,1,0,5
500m_r012_c028__v01,500m_r012_c028,1,1,12,0
500m_r012_c029__v01,500m_r012_c029,1,1,0,5
500m_r013_c000__v01,500m_r013_c000,1,1,5,0
500m_r013_c005__v01,500m_r013_c005,1,1,0,3
500m_r013_c006__v01,500m_r013_c006,1,1,0,9
500m_r013_c007__v01,500m_r013_c007,1,1,5,0
500m_r013_c008__v01,500m_r013_c008,1,1,4,0
500m_r013_c009__v01,500m_r013_c009,1,1,0,4
500m_r013_c013__v01,500m_r013_c013,1,1,0,10
500m_r013_c014__v01,500m_r013_c014,1,1,4,0
500m_r013_c015__v01,500m_r013_c015,1,1,0,4
500m_r013_c017__v01,500m_r013_c017,1,1,0,3
500m_r013_c018__v01,500m_r013_c018,1,2,0,11
500m_r013_c018__v02,500m_r013_c018,2,2,0,10
500m_r013_c022__v01,500m_r013_c022,1,1,6,0
500m_r013_c023__v01,500m_r013_c023,1,1,0,6
500m_r013_c024__v01,500m_r013_c024,1,1,3,0
500m_r013_c025__v01,500m_r013_c025,1,1,0,8
500m_r013_c026__v01,500m_r013_c026,1,1,0,4
500m_r013_c028__v01,500m_r013_c028,1,1,0,5
500m_r013_c029__v01,500m_r013_c029,1,1,18,0
500m_r014_c000__v01,500m_r014_c000,1,1,0,4
500m_r014_c012__v01,500m_r014_c012,1,1,4,0
500m_r014_c013__v01,500m_r014_c013,1,1,0,10
500m_r014_c014__v01,500m_r014_c014,1,1,11,0
500m_r014_c018__v01,500m_r014_c018,1,1,12,0
500m_r014_c019__v01,500m_r014_c019,1,1,5,0
500m_r014_c021__v01,500m_r014_c021,1,1,6,0
500m_r014_c024__v01,500m_r014_c024,1,1,0,5
500m_r014_c025__v01,500m_r014_c025,1,1,14,0
500m_r014_c026__v01,500m_r014_c026,1,1,5,0
500m_r014_c027__v01,500m_r014_c027,1,1,0,7
500m_r014_c028__v01,500m_r014_c028,1,1,0,5
500m_r014_c029__v01,500m_r014_c029,1,1,0,12
500m_r014_c030__v01,500m_r014_c030,1,1,0,9
500m_r015_c000__v01,500m_r015_c000,1,1,10,0
500m_r015_c009__v01,500m_r015_c009,1,1,4,0
500m_r015_c012__v01,500m_r015_c012,1,1,9,0
500m_r015_c013__v01,500m_r015_c013,1,1,4,0
500m_r015_c015__v01,500m_r015_c015,1,1,0,5
500m_r015_c016__v01,500m_r015_c016,1,1,0,4
500m_r015_c017__v01,500m_r015_c017,1,1,0,5
500m_r015_c018__v01,500m_r015_c018,1,1,5,0
500m_r015_c019__v01,500m_r015_c019,1,1,9,0
500m_r015_c023__v01,500m_r015_c023,1,1,3,0
500m_r015_c024__v01,500m_r015_c024,1,1,0,4
500m_r015_c025__v01,500m_r015_c025,1,1,0,12
500m_r015_c026__v01,500m_r015_c026,1,2,14,0
500m_r015_c026__v02,500m_r015_c026,2,2,14,0
500m_r015_c027__v01,500m_r015_c027,1,1,0,3
500m_r015_c030__v01,500m_r015_c030,1,1,7,0
500m_r016_c000__v01,500m_r016_c000,1,1,3,0
500m_r016_c010__v01,500m_r016_c010,1,1,0,3
500m_r016_c012__v01,500m_r016_c012,1,1,4,0
500m_r016_c014__v01,500m_r016_c014,1,2,0,11
500m_r016_c014__v02,500m_r016_c014,2,2,0,10
500m_r016_c015__v01,500m_r016_c015,1,1,0,7
500m_r016_c016__v01,500m_r016_c016,1,1,3,0
500m_r016_c018__v01,500m_r016_c018,1,1,0,5
500m_r016_c023__v01,500m_r016_c023,1,1,5,0
500m_r016_c024__v01,500m_r016_c024,1,1,0,10
500m_r016_c025__v01,500m_r016_c025,1,1,10,0
500m_r016_c026__v01,500m_r016_c026,1,1,13,0
500m_r016_c027__v01,500m_r016_c027,1,1,0,14
500m_r016_c029__v01,500m_r016_c029,1,1,6,0
500m_r016_c030__v01,500m_r016_c030,1,1,0,10
500m_r017_c011__v01,500m_r017_c011,1,1,0,4
500m_r017_c012__v01,500m_r017_c012,1,1,0,5
500m_r017_c013__v01,500m_r017_c013,1,1,0,8
500m_r017_c014__v01,500m_r017_c014,1,1,3,0
500m_r017_c016__v01,500m_r017_c016,1,1,7,0
500m_r017_c017__v01,500m_r017_c017,1,1,5,0
500m_r017_c018__v01,500m_r017_c018,1,1,0,3
500m_r017_c020__v01,500m_r017_c020,1,1,7,0
500m_r017_c024__v01,500m_r017_c024,1,1,0,4
500m_r017_c025__v01,500m_r017_c025,1,1,6,0
500m_r017_c026__v01,500m_r017_c026,1,1,0,5
500m_r017_c027__v01,500m_r017_c027,1,1,0,7
500m_r017_c030__v01,500m_r017_c030,1,1,9,0
500m_r018_c016__v01,500m_r018_c016,1,1,5,0
500m_r018_c018__v01,500m_r018_c018,1,1,0,6
500m_r018_c026__v01,500m_r018_c026,1,1,0,3
500m_r018_c027__v01,500m_r018_c027,1,1,0,5
500m_r018_c028__v01,500m_r018_c028,1,1,0,4
500m_r018_c029__v01,500m_r018_c029,1,1,18,0
500m_r019_c026__v01,500m_r019_c026,1,1,0,3
500m_r019_c028__v01,500m_r019_c028,1,1,3,0
